,Course_Name,Course_Description,Lectures_Num,Course_Level,Course_hours,Rate,Number_Rates
107,nlp natural language processing python,learn use machine learning spacy nltk scikitlearn deep learning conduct natural language processing jose portilla,80,Intermediate,115,4.5,2946
108,learn jira realworld example confluence bonus,learn work manage administer agile project comprehensive course jira software confluence kosh sarkar,82,All Levels,115,4.4,7869
109,aws certified solution architect professional practice exam,aws certified solution architect professional practice test question explanation reference flashcard jon bonso aws certified solution architect certified developer,5,336 questions,336,4.3,1025
110,advanced web developer bootcamp,learn react redux e testing cs flexbox animation svg ajax colt steele,391,Intermediate,34,4.5,7218
111,c advanced topic prepare technical interview,master confusing c construct event delegate lambda expression linq asyncawait mosh hamedani,21,Intermediate,3,4.5,10994
112,ansible absolute beginner handson devops,course introduces ansible absolute beginner devops practice ansible coding exercise browser mumshad mannambeth,34,Beginner,25,4.5,9180
113,learn devops infrastructure automation terraform,learn automate infrastructure terraform cover terraform aws packer docker ec eks jenkins edward viaene,86,Beginner,7,4.4,5585
114,ionic build io android web apps ionic angular,build native io android well progressive web apps angular capacitor ionic framework maximilian schwarzmüller,508,All Levels,35,4.6,10272
115,complete guide tensorflow deep learning python,learn use google deep learning framework tensorflow python solve problem cutting edge technique jose portilla,96,Intermediate,14,4.4,13435
116,web design beginner real world coding html cs,launch career web designer learning html cs responsive design sas cross device compatibility brad schiff,59,All Levels,9,4.6,7941
117,java programming complete beginner,learn java programming code example absolute java beginner start learning java programming inminutes official,300,Beginner,26,4.4,4990
118,mern stack front back full stack react redux nodejs,build deploy social network nodejs express react redux mongodb fully updated april brad traversy,73,Intermediate,12,4.7,7800
119,rest api testingautomation scratchrest assured java,updatedtop ranked api test automation postman course basic framework ton real time api example rahul shetty,142,All Levels,245,4.5,6830
120,complete python course learn python,go beginner expert python building project best investment python journey codestars rob percival,343,All Levels,355,4.5,5197
121,apache spark scala hand big data,dive right handson example analyzing large data set apache spark desktop hadoop sundog education frank kane,56,All Levels,75,4.5,9657
122,complete react developer course w hook redux,learn build launch react web application using react redux webpack reactrouter andrew mead,200,Beginner,39,4.7,14272
123,data science machine learning bootcamp r,learn use r programming language data science machine learning data visualization jose portilla,127,All Levels,18,4.6,9328
124,python deep dive part functional,variable function functional programming closure decorator module package fred baptiste,158,Intermediate,445,4.7,2789
125,learn c programming beginner advance deep dive c,classroom handson session feature c exception handling stl academic industry abdul bari,279,All Levels,305,4.6,2967
126,r programming advanced analytics r data science,take r r studio skill next level data analytics data science statistical analysis business ggplot kirill eremenko,51,Intermediate,6,4.6,4819
127,bootstrap scratch project,master bootstrap build real world theme learning html semantics cs brad traversy,74,All Levels,115,4.6,9626
128,android app development masterclass using kotlin,learn kotlin android app development become android developer incl kotlin tutorial android tutorial video tim buchalka,317,Beginner,545,4.4,2372
129,progressive web apps pwa complete guide,build progressive web app pwa feel like io android app using device camera push notification academind maximilian schwarzmüller,206,All Levels,16,4.7,6773
130,react front back,learn modern react including hook context api full stack mern redux building real life project brad traversy,91,All Levels,14,4.7,2953
131,data analysis panda python,analyze data quickly easily python powerful panda library datasets included beginner welcome boris paskhaver,176,All Levels,19,4.6,7596
132,appium mobile automation testing scratch framework,appium top class lecture mobile automation basic framework level real time example rahul shetty,181,All Levels,30,4.4,6903
