,_id,Course_Name,Course_Rate,Course_Description,Lectures_Num,Course_Level,Course_hours
180,5e41145e70dfe123d09ba46b,deep learn comput vision open sad gun,"4.4
(4,024 ratings)",becom wizard latest comput vision tool exist detect anyth creat power ape vaselin de pontev,83 lectures,All Levels,11 hours
181,5e41145e70dfe123d09ba46c,ethereg solid complet develop guid,"4.5
(9,504 ratings)",use ethereg solid smart contract build productionreadi ape base blockchain stephen rider,250 lectures,All Levels,24 hours
182,5e41145e70dfe123d09ba46d,learn creat rug game uniti,"4.6
(2,123 ratings)",game develop made easi learn c use uniti creat classic rug jame doyl,117 lectures,All Levels,18 hours
183,5e41145e70dfe123d09ba46e,unreal engin 4 masteri creat multiplay game c,"4.5
(4,032 ratings)",unless power c blueprint develop multiplay game ai epic gamesapprov cours tom woman,147 lectures,All Levels,17.5 hours
184,5e41145e70dfe123d09ba46f,webservicesrest apt test soap real time project,"4.4
(8,264 ratings)",popular 1 soap test automat cours 36000 student learn togeth great collabor paul hetti,107 lectures,All Levels,19 hours
185,5e41145e70dfe123d09ba470,master softwar testingjiraagil live appl teamlead,"4.4
(2,689 ratings)",2020 best job torment softwar manual test cours real time projectinterview quesresum rep lifetim support paul hetti,73 lectures,All Levels,10 hours
186,5e41145e70dfe123d09ba471,scala function program beginn rock jem,"4.6
(3,894 ratings)",becom scala programm get skill need work spark anna scala framework daniel ciocîrlan,50 lectures,Intermediate,15.5 hours
187,5e41145e70dfe123d09ba472,advanc react red 2020 edit,"4.6
(8,663 ratings)",detail walkthrough advanc react red concept authent test middlewar hoch employ stephen rider,239 lectures,Intermediate,21 hours
188,5e41145e70dfe123d09ba473,express modern automat test scratch framework,"4.4
(901 ratings)",learn express futur automat front end web test integr testingxhr apt real time exampl paul hetti,72 lectures,All Levels,12 hours
189,5e41145e70dfe123d09ba474,potman complet guid rest apt test,"4.4
(3,157 ratings)",potman apt test manual automat test automat german jerk tool valentin deep,133 lectures,Intermediate,14 hours
190,5e41145e70dfe123d09ba475,deep learn advanc nap run,"4.6
(1,656 ratings)",natur languag process sequencetosequ seq2seq attent enn run memori network lazi programm,63 lectures,All Levels,8 hours
191,5e41145e70dfe123d09ba476,cava multithread concurr perform optim,"4.6
(1,551 ratings)",becom expert multithread concurr parallel program cava strong emphasi high perform michael pogrebinski,32 lectures,All Levels,4 hours
192,5e41146b70dfe123d09ba477,11 swift 4 complet pp develop bootcamp,"4.6
(30,741 ratings)",learn 11 pp develop begin end use code 9 swift 4 includ full admit morel nodul angela,474 lectures,All Levels,49.5 hours
